ContextId,GeoLevels,LegacyUrlPattern,ExampleUrl
72243,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen/wohnung-mit-balkon,https://immowelt.de/suche/deutschland/wohnungen/kaufen/wohnung-mit-balkon
72262,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/immobilien/kaufen/wl-only-empty-garden,https://immowelt.de/suche/deutschland/immobilien/kaufen/wl-only-empty-garden
74434,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen,https://immowelt.de/suche/deutschland/wohnungen/kaufen
77395,Country|Region|Province|Municipality|Borough,/suche/{0}/haeuser/mieten/haus-mit-garage,https://immowelt.de/suche/deutschland/haeuser/mieten/haus-mit-garage
77399,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/reihenhaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/reihenhaus
77465,Country|Region|Province|Municipality|Borough,/suche/{0}/buero-praxisflaechen/mieten/coworking,https://immowelt.de/suche/deutschland/buero-praxisflaechen/mieten/coworking
77526,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/wohnung-mit-balkon,https://immowelt.de/suche/deutschland/wohnungen/mieten/wohnung-mit-balkon
77584,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/stadthaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/stadthaus
78418,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten?roomi=5&rooma=5,https://immowelt.de/suche/deutschland/wohnungen/mieten?roomi=5&rooma=5
78538,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/gastronomie-hotels/kaufen/wl-only,https://immowelt.de/suche/deutschland/gastronomie-hotels/kaufen/wl-only
79264,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/barrierefreies-wohnen,https://immowelt.de/suche/deutschland/barrierefreies-wohnen
79419,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/gastronomie-hotels/kaufen/restaurant,https://immowelt.de/suche/deutschland/gastronomie-hotels/kaufen/restaurant
80982,Country|Region|Province|Municipality|Borough,/suche/{0}/neubauwohnung/mieten,https://immowelt.de/suche/deutschland/neubauwohnung/mieten
81234,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/haus-mit-garage,https://immowelt.de/suche/deutschland/haeuser/kaufen/haus-mit-garage
81838,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/grundstuecke/mieten,https://immowelt.de/suche/deutschland/grundstuecke/mieten
82111,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/zwangsversteigerungen/kaufen,https://immowelt.de/suche/deutschland/zwangsversteigerungen/kaufen
82758,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/immobilien/mieten/wl-only-empty-garden,https://immowelt.de/suche/deutschland/immobilien/mieten/wl-only-empty-garden
83058,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/altbauwohnungen/mieten,https://immowelt.de/suche/deutschland/altbauwohnungen/mieten
